,Beijing,Shandong,Sichuan,Shanghai,Guangdong,Hubei,Yunnan,Guangxi,Zhejiang,Xinjiang,Jiangxi,Liaoning,Jiangsu,Hainan,Shaanxi,Gansu,Henan,Guizhou,Fujian,Heilongjiang,Hebei,Tianjin,Qinghai,Neimenggu,Hunan,Anhui,Chongqing,Jilin,Shanxi,Ningxia,sum
South Korea,19.0,21.0,9.0,12.0,30.0,20.0,7.0,8.0,21.0,11.0,11.0,4.0,10.0,8.0,16.0,6.0,11.0,1.0,19.0,9.0,15.0,3.0,1.0,5.0,6.0,16.0,5.0,11.0,12.0,,327.0
Japan,5.0,21.0,8.0,14.0,22.0,12.0,2.0,10.0,17.0,7.0,2.0,16.0,7.0,5.0,5.0,5.0,12.0,1.0,15.0,21.0,23.0,4.0,2.0,2.0,1.0,19.0,,7.0,5.0,,270.0
Singapore,6.0,18.0,16.0,9.0,65.0,18.0,3.0,8.0,19.0,4.0,7.0,1.0,7.0,3.0,9.0,4.0,13.0,1.0,12.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,,,,,237.0
Australia,2.0,5.0,,4.0,2.0,13.0,1.0,1.0,10.0,1.0,11.0,,8.0,,,1.0,3.0,,4.0,5.0,12.0,5.0,,,,6.0,,1.0,8.0,,103.0
South Africa,1.0,8.0,2.0,5.0,5.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,,,4.0,7.0,,4.0,6.0,9.0,1.0,,1.0,2.0,4.0,,1.0,4.0,,81.0
USA,2.0,2.0,1.0,1.0,6.0,7.0,,1.0,12.0,,3.0,,3.0,1.0,5.0,1.0,6.0,,9.0,4.0,,,,,1.0,1.0,1.0,,2.0,,69.0
Hong Kong,,1.0,,,18.0,2.0,2.0,3.0,1.0,,7.0,,1.0,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,41.0
Italy,,,1.0,1.0,2.0,6.0,2.0,1.0,7.0,,2.0,1.0,1.0,2.0,,,4.0,,2.0,,,,,,,7.0,,,1.0,,40.0
France,1.0,1.0,,17.0,,2.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,4.0,,,1.0,1.0,30.0
United Kingdom,1.0,1.0,,,,3.0,,2.0,2.0,,,2.0,,,,1.0,2.0,,3.0,1.0,,,,,,3.0,1.0,,,,22.0
Denmark,,,,,,,12.0,1.0,,1.0,,,,1.0,,,1.0,,2.0,,,,,,,2.0,,,,,20.0
Canada,1.0,,,1.0,,,,,2.0,,,10.0,,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,20.0
Myanmar,,,,,,,11.0,,,,,,,,,,,,1.0,,,,,,,,,,,,12.0
Germany,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,8.0
Kuwait,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,7.0
New Zealand,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,2.0,,,,,1.0,,,,,6.0
Thailand,,,,,,,,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,6.0
Taiwan,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,3.0
Austria,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0
Malaysia,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0
India,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0
Czech Republic,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
