,Xinjiang,Shanghai,Sichuan,Tianjin,Jiangsu,Heilongjiang,Anhui,Yunnan,Hubei,Shanxi,Qinghai,Fujian,Beijing,Gansu,Liaoning,Henan,Guizhou,Guangdong,sum
South Korea,22.0,48.0,38.0,,,12.0,3.0,18.0,34.0,11.0,2.0,15.0,4.0,6.0,11.0,8.0,2.0,,234.0
USA,20.0,39.0,32.0,1.0,1.0,12.0,3.0,19.0,29.0,10.0,4.0,20.0,3.0,6.0,2.0,12.0,,,213.0
Australia,18.0,27.0,7.0,,,2.0,1.0,8.0,16.0,9.0,3.0,4.0,1.0,4.0,1.0,5.0,1.0,,107.0
Japan,5.0,19.0,13.0,,,3.0,1.0,7.0,10.0,4.0,,5.0,3.0,2.0,5.0,3.0,,,80.0
Singapore,8.0,20.0,17.0,,,2.0,,6.0,6.0,3.0,,5.0,3.0,1.0,2.0,5.0,,,78.0
Canada,9.0,14.0,9.0,,,5.0,,4.0,8.0,3.0,1.0,10.0,,1.0,1.0,3.0,,,68.0
Malaysia,,4.0,13.0,,,3.0,1.0,6.0,8.0,4.0,1.0,4.0,,1.0,1.0,2.0,,,48.0
New Zealand,5.0,7.0,9.0,,,5.0,1.0,2.0,2.0,2.0,,,,,2.0,4.0,,,39.0
Germany,1.0,7.0,2.0,,,1.0,,1.0,1.0,3.0,,,,1.0,4.0,1.0,,,22.0
France,1.0,6.0,2.0,,,,,4.0,2.0,1.0,,1.0,1.0,,,,,,18.0
Spain,1.0,4.0,3.0,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,16.0
United Kingdom,,3.0,3.0,,,,1.0,,4.0,2.0,,,,,2.0,,,,15.0
Denmark,1.0,2.0,3.0,,,3.0,,,3.0,,,1.0,,1.0,,,,,14.0
Greece,4.0,,,,1.0,,,3.0,,2.0,,,1.0,,1.0,,,,12.0
Russia,,1.0,1.0,,,1.0,,3.0,3.0,,1.0,,,,,,,,10.0
Thailand,1.0,3.0,,,,,,2.0,1.0,2.0,,,,,,,,,9.0
Netherlands,2.0,1.0,,,,1.0,,,,,,2.0,,,,,,1.0,7.0
South Africa,1.0,2.0,2.0,,,,,,,,,,,,,1.0,,,6.0
Hong Kong,2.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,6.0
Sweden,1.0,2.0,,,,,,2.0,,,,,,,,,,,5.0
Switzerland,,3.0,,,,1.0,,1.0,,,,,,,,,,,5.0
Belgium,,3.0,,,,,,,,,,,,1.0,,,,,4.0
Croatia,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,4.0
Qatar,1.0,,,,,,,1.0,1.0,,,,,,,,,,3.0
Taiwan,,,,,,,,1.0,1.0,,,,,,,,,,2.0
Italy,,1.0,,,,,,,,,,,1.0,,,,,,2.0
Luxembourg,,1.0,,,,,,,,,,,,,,,,,1.0
Norway,,,,,,,,1.0,,,,,,,,,,,1.0
Chile,,,,,,,,1.0,,,,,,,,,,,1.0
