,BF.7,BA.5,DY,XBB,EG.5,HK
Anhui,41.0,15.0,47.0,64.0,14.0,6.0
Beijing,78.0,74.0,23.0,205.0,66.0,18.0
Chongqing,3.0,24.0,11.0,1.0,0.0,0.0
Fujian,63.0,27.0,59.0,180.0,46.0,40.0
Gansu,12.0,12.0,54.0,126.0,39.0,36.0
Guangdong,46.0,35.0,130.0,759.0,49.0,2.0
Guangxi,18.0,20.0,26.0,4.0,0.0,0.0
Guizhou,7.0,2.0,7.0,5.0,7.0,2.0
Hainan,37.0,20.0,26.0,1.0,0.0,0.0
Hebei,48.0,11.0,31.0,2.0,0.0,0.0
Heilongjiang,63.0,31.0,79.0,176.0,64.0,44.0
Henan,31.0,50.0,59.0,87.0,32.0,14.0
Hubei,26.0,24.0,111.0,569.0,180.0,225.0
Hunan,2.0,4.0,2.0,0.0,0.0,0.0
Jiangsu,80.0,45.0,73.0,219.0,13.0,3.0
Jiangxi,4.0,8.0,16.0,40.0,1.0,0.0
Jilin,6.0,6.0,5.0,0.0,0.0,0.0
Liaoning,40.0,15.0,49.0,119.0,159.0,57.0
Neimenggu,27.0,6.0,15.0,2.0,0.0,0.0
Ningxia,1.0,1.0,2.0,0.0,0.0,0.0
Qinghai,11.0,33.0,28.0,102.0,76.0,25.0
Shaanxi,37.0,15.0,30.0,3.0,0.0,0.0
Shandong,108.0,57.0,93.0,1.0,0.0,0.0
Shanghai,56.0,133.0,46.0,572.0,110.0,86.0
Shanxi,22.0,9.0,17.0,132.0,43.0,54.0
Sichuan,16.0,33.0,26.0,193.0,131.0,122.0
Tianjin,76.0,196.0,53.0,38.0,13.0,2.0
Xinjiang,12.0,43.0,41.0,267.0,150.0,129.0
Xizang,0.0,0.0,0.0,0.0,0.0,0.0
Yunnan,37.0,33.0,64.0,407.0,182.0,85.0
Zhejiang,38.0,37.0,51.0,26.0,2.0,0.0
