Dep Country Name,Total Est. Pax
South Korea,3573230
Japan,3212418
Thailand,3098741
Hong Kong,2969786
Taiwan,2333375
Singapore,1817981
Macao (sar) China,1566671
Malaysia,1364631
USA,1045887
Vietnam,991350
Australia,908624
Indonesia,868841
United Kingdom,649744
Philippines,621062
Russia,582087
United Arab Emirates,552702
Cambodia,518874
Germany,480768
Italy,471327
Canada,353378
France,304504
New Zealand,279345
Spain,277441
Turkey,203128
India,196001
Iran Islamic Republic of,192161
Laos,183356
Myanmar,178144
Egypt,166482
Netherlands,149708
Saudi Arabia,143171
Maldives,124138
Bangladesh,121898
Kazakhstan,111854
Pakistan,109918
Switzerland,101391
Uzbekistan,100116
Sri Lanka,90442
Ethiopia,86757
Nepal,80384
Mongolia,74289
South Africa,72340
Austria,64483
Belgium,61911
Kenya,61492
Israel,59036
Denmark,57516
Serbia,55993
Finland,54362
Sweden,51478
Greece,50699
Poland,49468
Hungary,48861
Brazil,46589
Algeria,46518
Portugal,45333
Tanzania United Republic of,44082
Ireland,43215
Nigeria,42500
Qatar,32986
Kuwait,32398
Iraq,31775
Georgia,30066
Kyrgyzstan,29935
Mexico,29282
Morocco,28490
Jordan,26703
Norway,25983
Belarus,24929
Turkmenistan,24808
Czech Republic,22301
Brunei,21698
Tajikistan,19311
Romania,18421
Azerbaijan,18222
Argentina,17611
Northern Mariana Islands,17182
Zambia,17170
Oman,16906
Angola,15443
Ghana,15374
Congo Democratic Republic of,15312
Uganda,14702
Lebanon,13890
Zimbabwe,12940
Peru,11654
Cote D'Ivoire,10931
Guinea,10762
Chile,10569
Mauritius,10006
Colombia,9791
Tunisia,9501
Bahrain,9367
Iceland,9240
Senegal,8995
Mozambique,8935
Panama,8878
Cameroon,8562
Sudan,8211
Bulgaria,8070
Armenia,7911
Croatia,7742
Ecuador,7337
Chad,6844
Congo,6363
Rwanda,6225
Fiji,6165
Cyprus,6036
Namibia,5612
Mali,5513
Luxembourg,5045
Guam,4483
Burkina Faso,4476
Madagascar,4346
Latvia,4021
Gabon,3979
Albania,3974
Botswana,3791
Malawi,3667
Malta,3591
Moldova Republic of,3586
Togo,3454
Cuba,3395
South Sudan,3316
Bosnia and Herzegovina,3174
Lithuania,3082
Bolivia,3077
Slovenia,3073
Papua New Guinea,2977
Niger,2854
Sierra Leone,2828
Estonia,2657
Benin,2657
Equatorial Guinea,2554
Montenegro,2422
Costa Rica,2408
Uruguay,2292
Djibouti,2170
Liberia,2014
Suriname,1990
Seychelles,1830
Burundi,1800
Somalia,1789
Libya,1663
Eritrea,1620
Dominican Republic,1586
Samoa,1537
Comoros,1523
Jamaica,1417
Trinidad and Tobago,1405
North Macedonia,1399
Tonga,1360
Syrian Arab Republic,1290
Venezuela,1277
Guyana,1249
Lesotho,1152
Gambia,875
Cabo Berde,787
Afghanistan,660
Central African Republic,647
El Salvador,621
Mauritania,620
Palau,587
Reunion,576
Gibraltar,516
Vanuatu,470
Barbados,344
Puerto Rico,343
French Polynesia,327
Guatemala,295
Timor-leste,292
Curacao,288
Honduras,283
Martinique,277
Nicaragua,274
St Maarten (dutch Part),258
Aruba,233
Bahamas,220
Paraguay,204
Slovakia,194
"Antigua and Barbuda, Leeward Islands",186
Guinea-Bissau,183
New Caledonia,180
Eswatini,157
"Bonaire, Saint Eustatius and Saba",148
Guadeloupe,136
Cayman Islands,123
"Grenada, Windward Islands",123
Bermuda,111
Faroe Islands,110
Belize,104
Turks and Caicos Islands,100
French Guiana,94
Dominica,88
Cook Islands,74
Yemen,64
St Vincent and the Grenadines,49
Mayotte,47
Ukraine,33
Solomon Islands,28
"Saint Kitts and Nevis, Leeward Islands",25
Saint Lucia,25
Haiti,16
"Virgin Islands, US",13
Micronesia Federated States of,12
Sao Tome and Principe,11
Greenland,8
Marshall Islands,2
Nauru,2
Bhutan,1
Kiribati,1
Wallis and Futuna Islands,0
